Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	1	0	1183	1183			0,50545	0,2814	3,4129
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	2	1243	3861	2618			0,51543	0,24989	3,48018
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	3	3921	6580	2658			0,48849	0,36665	3,66698
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	4	6680	6760	80			0,6461	0,33122	3,7525
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	5	6900	9278	2379			0,50709	0,32524	3,64856
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	6	9318	12137	2818			0,49119	0,27636	3,46576
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	7	12157	17354	5197			0,49699	0,29452	3,59684
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	8	17493	17713	220			0,50374	0,31627	3,68381
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	9	17733	21984	4251			0,50303	0,28658	3,48976
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	1	0	1183	1183		0	0,50545	0,2814	3,4129
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	2	1243	3861	2618		0	0,51543	0,24989	3,48018
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	3	3921	6580	2658		0	0,48849	0,36665	3,66698
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	4	6680	6760	80		0	0,6461	0,33122	3,7525
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	5	6900	9278	2379		0	0,50709	0,32524	3,64856
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	6	9318	12137	2818		0	0,49119	0,27636	3,46576
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	7	12157	17354	5197		0	0,49699	0,29452	3,59684
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	8	17493	17713	220		0	0,50374	0,31627	3,68381
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	9	17733	23690	5957		0	0,50303	0,28658	3,51192
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	10	24210	24289	80		0	0,12849	0,25441	3,96129
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	11	24729	25129	400		0	0,51435	0,39099	4,08398
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	12	25149	25529	380		0	0,56832	0,5656	4,27375
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	13	25989	26188	200		0	0,21903	0,32093	4,67076
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	14	26648	26828	180		0	0,55974	0,48529	4,29564
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	15	26868	27188	320	Classroom_Others	1	0,56383	0,32038	4,50825
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	16	27248	27388	140	Classroom_Others	1	0,58623	0,68842	4,53884
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	17	27408	27508	100	Classroom_Others	1	0,55694	0,72041	4,42064
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	18	27588	27887	300	Classroom_Others	1	0,4349	0,41263	4,54022
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	19	27927	28147	220	Classroom_Others	1	0,58761	0,42795	4,03575
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	20	28187	28407	220	Classroom_Others	1	0,62801	0,4228	3,77282
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	21	29287	29506	220	Classroom_Others	1	0,65067	0,84918	3,87898
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	1	12	931	919			0,53399	0,28912	3,4949
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	2	1091	2550	1459			0,49775	0,24366	3,50696
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase2	1	fullstream	Fixation	Partial	3	2590	2870	280			0,51498	0,45211	3,47908
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase2	1	fullstream	Fixation	Partial	4	2890	3170	280			0,43104	0,40783	3,5577
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	5	3190	3390	200			0,49487	0,39242	3,64504
Recording079	ProVisioNET_study_119_03	Male	Novice	Calibration_phase2	1	fullstream	Fixation	Whole	6	3490	4949	1459			0,50186	0,34225	3,67966
