Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	1	0	1143	1143			0,51215	0,23803	5,22867
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	2	1383	1922	540			0,52596	0,13132	5,40554
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	3	1962	2542	580			0,58728	0,12341	5,52863
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	4	2822	4661	1839			0,49409	0,09443	5,57755
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	5	4721	7819	3098			0,47702	0,24579	5,70044
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	6	7879	10298	2419			0,57653	0,17847	5,8652
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	7	10338	13076	2738			0,48131	0,04358	5,85539
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	8	13196	13336	140			0,50698	0,14378	5,9383
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	9	13356	13835	480			0,52796	0,0754	5,98332
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	10	14135	14595	460			0,50405	0,07442	5,95684
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	11	14995	16774	1779			0,49459	0,08921	5,58478
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	12	17014	19052	2039			0,51065	0,11619	5,70013
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	13	19072	22091	3018			0,49226	0,08541	5,68666
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	14	22111	22251	140			0,53983	0,08782	5,79738
Recording077	ProVisioNET_study_117_01	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	15	22410	22770	360			0,51831	0,14562	5,83403
