Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	1	36	236	200			0,41392	0,11467	4,10423
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	2	336	416	80			0,49697	0,11357	4,14765
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	3	436	936	500			0,42767	0,13748	4,08255
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	4	1056	1156	100			0,72245	0,18321	4,34047
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	5	1256	1335	80			0,63623	0,03179	4,12099
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	6	1375	1475	100			0,67451	0,09013	3,9455
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	7	1595	1715	120			0,69108	0,18981	4,20398
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	8	1995	2095	100			0,66785	0,07133	4,11127
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	9	2575	2675	100			0,60223	0,04734	4,30146
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	10	2695	2775	80			0,53557	0,09849	4,04539
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	11	2895	2975	80			0,59198	0,0774	4,17799
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	12	3454	3594	140			0,55904	0,17341	4,31326
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	13	3674	3874	200			0,59061	0,15226	4,21931
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	14	3934	4174	240			0,56433	0,1822	4,16454
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	15	4334	4474	140			0,42074	0,32123	4,19807
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	16	4514	5133	620			0,41705	0,26932	4,02174
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	17	5153	6453	1299			0,43207	0,29133	3,85361
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	18	6632	7072	440			0,44087	0,28557	3,82015
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	19	7092	7172	80			0,43909	0,27583	3,83731
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	20	7332	8112	780			0,56306	0,24939	3,76196
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	21	8571	8831	260			0,5108	0,2414	3,95322
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	22	8851	8951	100			0,55246	0,29991	4,02285
Recording070	ProVisioNET_study_112_04	Female	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	23	9051	9151	100			0,51548	0,2419	3,7931
