Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	1	0	50	50			0,49646	0,04733	5,04635
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	2	630	730	100			0,52752	0,02634	4,98761
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	3	790	1129	340			0,48259	0,0115	5,05831
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	4	1149	1629	480			0,48219	0,03761	5,13835
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	5	1649	1769	120			0,54358	0,01277	5,17689
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	6	1809	2009	200			0,46951	0,02338	5,2059
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	7	2209	2289	80			0,33975	0,39261	4,98718
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	8	2349	2629	280			0,37699	0,33596	5,16731
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	9	2649	3048	400			0,45172	0,18606	5,20939
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	10	3068	3448	380			0,34865	0,13653	5,47598
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	11	3468	3548	80			0,55336	0,15416	5,24331
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	12	3608	3688	80			0,4666	0,11416	5,31864
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	13	4068	4248	180			0,85857	0,21297	5,3299
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	14	4348	5427	1079			0,60163	0,19258	5,3921
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	15	5867	6087	220			0,59889	0,06254	5,29194
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	16	6446	6526	80			0,3127	0,04758	5,33745
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	17	6546	6746	200			0,33547	0,10882	5,29268
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	18	7086	7206	120			0,60344	0,40848	5,21138
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	19	7266	8045	780			0,67041	0,23799	5,39709
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	20	8205	8485	280			0,63789	0,18642	5,36228
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	21	8625	8805	180			0,5447	0,23447	5,35111
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	22	9065	9325	260			0,53472	0,21134	5,22316
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	23	9405	9505	100			0,33967	0,32656	5,27552
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	24	9684	9764	80			0,55246	0,26475	5,37545
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	25	9784	9924	140			0,46908	0,26831	5,45152
Recording053	ProVisioNET_study_102_02	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	26	9964	10104	140			0,5427	0,28224	5,28588
