questionnaire label	session	unit	itemid	item	shortID	student/teacher/experimenter	itemfulltext	value	answered for	age	sex	experience	conception 	class 	age adult education
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_lernstoff	exp	Die gesamte Unterrichtsstunde wurde für den Lernstoff verwendet.	3	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_mitbekommen	exp	Die Lehrperson hat alles mitbekommen, was in der Klasse passiert ist.	3	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	kkm_klar	exp	Den Schüler*innen war jederzeit klar, was sie tun sollten.	2	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_unegstört	exp	Die Schüler*innen konnten ungestört arbeiten.	3	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_aktiv	exp	Die Schüler*innen waren die ganze Stunde über aktiv bei der Sache.	2	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_freundlich	exp	Die Lehrperson war freundlich zu den Schüler*innen.	3	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_interesse	exp	Es gab Aufgaben, die etwas mit dem Interessen oder den Alltagserfahrungen der Schüler*innen zu tun haben	3	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_kritik	exp	Die Lehrperson hat Fehler nicht kritisiert, sondern als Lerngelegenheit betrachtet.	4	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_ausreden	exp	Die Lehrperson die Schüler*innen ausreden lasse, wenn sie dran waren.	3	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_überlegen	exp	Wenn die Lehrperson Frage oder Aufgaben gestellt hat, hat sie den Schüler*innen ausreichend Zeit zum Überlegen gelassen. 	3	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_rückmeldungen	exp	Die Hinweise und Rückmeldungen der Lehrperson waren für die Schüler*innen hilfreich.	3	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	lkm_funktion	exp	Den Schüler*innen ist klar, was sie in dieser Stunde lernen sollten.	4	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_verständlich	exp	Die Lehrperson so erklärt, dass die Schüler*innen alles verstanden haben.	4	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_sichtbar	exp	Der Lernstoff wurde sichtbar gemacht, zum Beipsiel durch Schaubild, Mindmap, Poster oder Zeichnung.	4	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_deutlich	exp	Die Lehrperson hat darauf geachtet, dass jede*r klar und deutlich spricht.	2	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_zusammenfassend	exp	Die wichtigsten Punkte wurden zusammengefasst.	3	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_beiträge	exp	Die Schüler*innen haben sich mit eigenen Beiträgen am Unterrichtsbespräch beteiligt. 	4	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_wechselseitig	exp	Die Schüler*innen haben sich wechselseitig etwas erklärt, sich Fragen gestellt oder Rückmeldung gegeben.	4	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_nachdenken	exp	Es gab Fragen oder Aufgaben, bei denen die Schüler*innen richtig nachdenken mussten.	4	A	27	w	0	0	0	0
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_schwierigkeit	exp	Den Schüler*innen standen Aufgaben mit unterschiedlichen Schwierigkeitsstufen und unterschiedlichen Hilfen zur Wahl.	2	A	27	w	0	0	0	0
